V1,V2
0.76163,5.8209
-0.53966,7.3273
2.6213,5.7919
3.0242,-3.3378
5.8519,5.3905
0.5706,-0.0248
3.9771,11.1513
1.5478,9.1814
0.74054,0.36625
0.49571,10.2243
1.645,7.8612
3.6077,6.8576
3.2403,-3.7082
3.9166,10.2491
3.9262,6.0299
5.591,10.4643
3.7522,-3.6978
1.3114,4.5462
3.7022,6.9942
4.364,-3.1039
3.5829,1.4423
4.65,-4.8297
5.1731,3.9606
3.2692,3.4184
2.4012,1.6223
1.7257,-4.4697
4.7965,6.9859
4.0962,10.1891
2.5559,3.3605
3.4916,8.5709
0.5195,-3.2633
2.9856,7.2673
4.0932,5.4132
1.7748,-0.76978
5.2012,0.32694
-0.45062,-1.3678
4.8451,8.1116
0.74841,7.2756
5.1213,8.5565
3.6181,-3.7454
0.040498,8.5234
-2.6479,10.1374
0.37984,0.70975
-0.95923,0.091039
2.8672,10.0008
1.0182,9.109
-2.7143,11.4535
3.8244,-3.1081
2.7961,2.121
3.5358,6.7086
-0.7056,8.7241
4.1542,7.2756
0.92703,9.4318
1.8216,-6.4748
-2.4473,12.6247
3.5862,-3.0957
0.66191,9.6594
4.7926,1.7071
4.9852,8.3516
0.75736,3.0294
4.6499,7.6336
-0.023579,7.1742
0.85574,0.008268
0.88298,0.66009
4.0422,-4.391
2.2546,8.0992
0.38478,6.5989
3.1541,-5.1711
2.3969,0.23589
4.7114,2.0755
4.0127,10.1477
2.6606,3.1681
3.931,1.8541
0.01727,8.693
3.2414,0.40971
2.2504,3.5757
-1.3971,3.3191
0.39012,-0.14279
-1.6677,-7.1535
-3.8483,-12.8047
-3.5681,-8.213
-2.2804,-0.30626
-1.7582,2.7397
-0.89409,3.1991
0.3434,0.12415
-0.9854,-6.661
-2.4115,-9.1359
-1.5252,-6.2534
-0.61442,-0.091058
-0.36506,2.8928
-5.9034,6.5679
-1.8215,2.7521
-0.77461,-1.8768
-1.8187,-9.0366
-3.5801,-12.9309
-1.8219,-6.8824
-0.3481,-0.38696
0.47368,3.3605
-3.4083,4.8587
-1.6662,-0.30005
-2.0962,-7.1059
-2.6685,-10.4519
-0.47465,-4.3496
1.0552,1.1857
1.1644,3.8095
-4.4779,7.3708
-2.7338,0.45523
-2.286,-5.4484
-1.6244,-6.3444
0.50813,0.47799
1.6408,4.2503
0.81583,4.84
-5.4901,9.1048
-3.2238,2.7935
-2.0631,-1.5147
-0.91318,-2.0113
0.6005,1.9327
0.91315,3.3377
-0.28015,3.0729
-3.6085,3.3253
-6.2003,8.6806
-4.2932,3.3419
-3.0265,-0.062088
-1.7015,-0.010356
-0.64326,2.4748
-0.86339,1.9348
-2.0659,1.0512
-2.1333,1.5685
-1.2568,-1.4733
-3.1128,-6.841
-4.8554,-5.9037
-2.588,3.8654
0.24394,1.4733
-1.5322,-5.0966
-4.0025,-13.4979
-4.0173,-8.3123
-3.0731,-0.53181
-1.979,3.2301
-0.4294,-0.14693
-2.234,-7.0314
-4.211,-12.4736
-3.8073,-8.0971
-2.5912,-0.10554
-2.2482,3.0915
-1.4427,3.2922
-0.39416,-0.020702
-1.522,-6.6383
-2.8267,-9.0407
-1.7263,-6.0237
-0.94255,0.039307
-0.89569,3.0025
-6.2815,6.6651
-2.3211,3.166
-1.3414,-2.0776
-2.258,-9.3263
-3.8858,-12.8461
-1.8969,-6.7893
-0.52645,-0.24832
0.009661,3.5612
-3.8826,4.898
-2.1405,-0.16762
-2.4824,-7.3046
-2.9098,-10.0712
-0.60975,-4.002
0.83625,1.1071
0.60731,3.9544
-4.8861,7.0542
-3.1366,0.42212
-2.5754,-5.6574
-1.8782,-6.5865
0.24261,0.57318
1.296,4.2855
0.25943,5.0097
-5.873,9.1752
-3.4605,2.6901
-2.3797,-1.4402
-1.2424,-1.7175
0.20216,1.9182
0.59823,3.5012
-0.77995,3.2322
-4.1409,3.4619
-6.5084,8.7696
-4.4996,3.4288
-3.3125,0.10139
-1.9423,0.3766
-0.75793,2.5349
-0.95403,1.9824
-2.2173,1.4671
-2.799,1.9679
-1.8629,-0.84841
-3.5916,-6.2285
-5.1216,-5.3118
-3.2854,4.0372
-0.56877,1.4174
-2.3518,-4.8359
-4.4861,-13.2889
-4.3876,-7.7267
-3.3604,-0.32696
-1.0112,2.9984
0.030219,-1.0512
-1.6514,-8.4985
-3.2692,-12.7406
-2.5701,-6.8452
-1.3066,0.25244
-1.6637,3.2881
-0.55008,2.8659
0.21431,-0.69529
-0.77288,-7.4473
-1.8391,-9.0883
-0.63298,-5.1277
0.004055,0.62905
-0.28696,3.1784
-5.2406,6.6258
-1.4446,2.1438
-0.65767,-2.8018
-1.5449,-10.1498
-2.8957,-12.0205
-0.81479,-5.7381
0.50225,0.65388
0.74521,3.6357
-2.9146,4.0537
-1.3907,-1.3781
-1.786,-8.1157
-1.7322,-9.2828
0.55298,-3.4619
2.031,1.852
1.2279,4.0309
-4.2249,6.2699
-2.5346,-0.77392
-1.749,-6.332
-0.539,-5.167
1.5631,0.89599
2.3917,4.5565
0.89512,4.7738
-5.4808,8.1819
-2.8833,1.7713
-1.4174,-2.2535
0.4283,-0.94981
1.5904,2.2121
1.7425,3.6833
-0.23356,3.2405
-3.6227,3.9958
-6.1536,7.9295
-3.9172,2.6652
-2.2214,-0.23798
-0.49241,0.89392
0.26517,2.4066
-0.10234,1.8189
-1.6176,1.0926
-1.8448,1.254
-1.2786,-2.4087
-2.902,-7.6563
-4.3773,-5.5167
-2.0529,3.8385
0.18868,0.70148
-1.7279,-6.841
-3.3793,-13.7731
-3.1273,-7.1121
-2.121,-0.05588
-1.7697,3.4329
-0.001285,0.13863
-1.682,-6.8121
-3.4917,-12.1736
-3.1158,-8.6289
-2.0891,-0.48422
-1.6936,2.7852
-1.2846,3.2715
-0.092194,0.39315
-1.0292,-6.3879
-2.2083,-9.1069
-1.0744,-6.3113
-0.51003,-0.23591
-0.36372,3.0439
-6.3979,6.4479
-2.2501,3.3129
-1.1859,-1.2519
-1.8076,-8.8131
-3.3863,-12.9889
-1.4106,-7.108
-0.21394,-0.68287
0.48797,3.5674
-3.8167,5.1401
-1.9555,0.20692
-2.1786,-6.4479
-2.3299,-9.9532
0.00312,-4.0061
1.3518,1.0595
1.2309,3.8923
-5.0301,7.5032
-3.0799,0.60836
-2.2987,-5.227
-1.239,-6.541
0.75896,0.29176
1.6799,4.2068
0.63655,5.2022
-6.0598,9.2952
-3.518,2.8763
-2.0336,-1.4092
-0.69745,-1.7672
0.75108,1.9161
0.84546,3.4826
-0.55648,3.2136
-3.6817,3.2239
-6.7526,8.8172
-4.577,3.4515
-2.9883,0.31245
-1.4781,0.14277
-0.46651,2.3383
-0.8734,1.6533
-2.1234,1.1815
-2.3142,2.0838
-1.4233,-0.98912
-3.0866,-6.6362
-4.7331,-6.1789
-2.8829,3.8964
-0.036127,1.525
-1.7104,-4.778
-3.8203,-13.0551
-3.7181,-8.5089
-2.899,-0.60424
-0.98193,2.7956
-0.17296,-1.1816
-1.9409,-8.6848
-3.5713,-12.4922
-2.9915,-6.6258
-1.8483,0.31038
-2.2677,3.2964
-0.50816,2.868
0.14329,-1.0885
-0.90784,-7.9026
-2.0042,-9.3676
-0.93587,-5.1008
-0.40804,0.54214
-0.8172,3.3812
-4.8392,6.6755
-1.2792,2.1376
-0.66008,-3.226
-1.7713,-10.7665
-3.0061,-12.2377
-1.1022,-5.8395
0.11806,0.39108
0.11686,3.735
-2.7264,3.9213
-1.2369,-1.6906
-1.8439,-8.6475
-1.8554,-9.6035
0.16358,-3.3584
1.5077,1.9596
0.67886,4.1199
-3.9934,5.8333
-2.3898,-0.78427
-1.7976,-6.7686
-0.70867,-5.5602
1.0194,1.1029
1.7875,4.78
0.27331,4.8773
-5.1661,8.0433
-2.7028,1.6327
-1.4904,-2.2183
-0.014902,-1.0243
0.88992,2.2638
1.0637,3.6957
-0.8471,3.1329
-3.9594,4.0289
-5.8818,7.6584
-3.7747,2.5162
-2.4198,-0.24418
-0.83535,0.80494
-0.30432,2.6528
-0.60254,1.7237
-2.1059,1.1815
-2.0441,1.2271
-1.5621,-2.2121
-3.2305,-7.2135
-4.8426,-4.9932
-2.3147,3.6668
-0.11716,0.60422
-2.0066,-6.719
-3.6961,-13.6779
-3.6012,-6.5389
-2.6286,0.18002
-0.82601,2.9611
0.31803,-0.99326
-1.4454,-8.4385
-3.1423,-13.0365
-2.5373,-6.959
-1.366,0.18416
-1.7064,3.3088
-0.41965,2.9094
0.37637,-0.82358
-0.55355,-7.9233
-1.6001,-9.5828
-0.37013,-5.554
0.12126,0.22347
-0.27068,3.2674
-5.119,6.6486
-1.3946,2.3134
-0.69879,-3.3771
-1.48,-10.5244
-2.6649,-12.813
-0.62684,-6.301
0.518,0.25865
